rowid,stationid,city,chinese,latitude,longitude,pm25,pm10,o3,no2 ,so2,co,useless1,useless2,useless3,useless4,useless5,useless6,time
120695,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,166,90,1,31,25,16,11,10,1018,94,0,2.01E+13,1395669600
120748,36,Beijing,Îë„__å,39.955906,116.474246,340,187,40,84,33,5,11,3,1011,58,0,2.01E+13,1395680400
120760,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,117,52,24,28,6,5,15,13,1014,86,4,2.01E+13,1395680400
121139,498,Tianjin,Î_©_Ç«,39.085164,117.207281,213,138,21,32,29,11,12,6,1012,67,2,2.01E+13,1395687600
121606,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,157,72,1,19,12,15,10,10,1016,100,4,2.01E+13,1395698400
121659,36,Beijing,Îë„__å,39.955906,116.474246,282,127,9,49,21,5,10,1,1012,54,7,2.01E+13,1395709200
121671,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,119,59,14,38,7,5,15,14,1013,89,2,2.01E+13,1395709200
122049,498,Tianjin,Î_©_Ç«,39.085164,117.207281,271,184,9,36,52,15,18,8,1012,52,7,2.01E+13,1395716400
122518,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,161,96,2,38,25,15,17,10,1015,63,2,2.01E+13,1395727200
122571,36,Beijing,Îë„__å,39.955906,116.474246,239,150,44,34,32,9,23,1,1008,23,7,2.01E+13,1395738000
122583,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,147,84,10,42,10,9,20,17,1009,82,1,2.01E+13,1395738000
122962,498,Tianjin,Î_©_Ç«,39.085164,117.207281,202,125,37,22,31,11,17,9,1008,59,9,2.01E+13,1395745200
123431,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,155,81,11,43,15,12,13,10,1016,82,9,2.01E+13,1395756000
123484,36,Beijing,Îë„__å,39.955906,116.474246,240,130,46,53,25,8,12,4,1010,58,2,2.01E+13,1395766800
123496,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,163,66,11,51,9,9,17,15,1009,88,1,2.01E+13,1395766800
123875,498,Tianjin,Î_©_Ç«,39.085164,117.207281,301,240,11,51,45,18,11,8,1010,82,4,2.01E+13,1395774000
124344,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,160,75,1,26,24,15,11,9,1015,88,7,2.01E+13,1395784800
124397,36,Beijing,Îë„__å,39.955906,116.474246,367,215,5,76,15,11,9,5,1012,76,2,2.01E+13,1395795600
124409,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,169,85,6,42,18,11,18,15,1012,84,4,2.01E+13,1395795600
124789,498,Tianjin,Î_©_Ç«,39.085164,117.207281,307,193,7,32,47,21,19,11,1013,60,7,2.01E+13,1395802800
125258,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,154,65,9,22,17,13,23,11,1013,47,4,2.01E+13,1395813600
125311,36,Beijing,Îë„__å,39.955906,116.474246,296,178,22,56,38,11,23,6,1008,33,4,2.01E+13,1395824400
125323,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,162,78,31,27,10,11,18,12,1012,68,3,2.01E+13,1395824400
125703,498,Tianjin,Î_©_Ç«,39.085164,117.207281,200,128,49,22,24,11,23,7,1008,36,7,2.01E+13,1395831600
126172,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,159,93,28,48,18,11,18,11,1011,64,11,2.01E+13,1395842400
126225,36,Beijing,Îë„__å,39.955906,116.474246,443,302,48,64,34,11,13,8,1011,72,2,2.01E+13,1395853200
126237,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,153,63,26,50,9,9,13,12,1015,89,1,2.01E+13,1395853200
126617,498,Tianjin,Î_©_Ç«,39.085164,117.207281,222,127,27,27,14,14,16,11,1011,72,2,2.01E+13,1395860400
127087,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,164,103,5,39,11,12,16,11,1008,72,7,2.01E+13,1395874800
127140,36,Beijing,Îë„__å,39.955906,116.474246,399,265,3,65,15,5,12,8,1013,77,2,2.01E+13,1395882000
127152,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,107,35,18,21,3,5,12,11,1017,95,5,2.01E+13,1395882000
127526,498,Tianjin,Î_©_Ç«,39.085164,117.207281,254,139,10,38,27,15,14,12,1013,88,7,2.01E+13,1395892800
